id,company,title,remote,location,city,state,zip,created_at,apply_email,apply_url,purchaser_email,company_url,transaction_price,revenue_share,expiration_date,featured,applicants_count,apply_link_click_count,views,url,reference,status,display_salary,salary_min,salary_max,salary_timeframe,salary_description,published_at,source_name
61399886,Open Influence,"Influencer Marketing Account Manager (Bilingual - English/Spanish) LA, NY, TX, FL",on_site,"New York, NY, USA",New York,New York,"",2021-05-05 02:44:19 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,1,0,3,https://www.influencermarketingsociety.com/jobs/61399886-influencer-marketing-account-manager-bilingual-english-spanish-la-ny-tx-fl-at-open-influence,,published,true,,,annually,,2021-05-05 02:44:00 UTC,admin
60888259,Koppert Biological Systems US,Marketing Manager,on_site,"Oxnard, CA, USA",Oxnard,California,"",2021-05-02 19:26:17 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:24:00 UTC,false,0,0,5,https://www.influencermarketingsociety.com/jobs/60888259-marketing-manager-at-koppert-biological-systems-us,,published,true,,,annually,,2021-05-18 19:26:00 UTC,admin
60888258,Endeavor,"Associate Counsel, 160over90",on_site,"New York, NY, USA",New York,New York,"",2021-05-02 19:23:34 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,5,0,20,https://www.influencermarketingsociety.com/jobs/60888258-associate-counsel-160over90-at-endeavor,,published,true,,,annually,,2021-05-02 19:23:00 UTC,admin
60888257,Apple,"Business Affairs Lead, Fitness+",on_site,"Santa Clara, CA, USA",Santa Clara,California,"",2021-05-02 19:21:50 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,0,0,31,https://www.influencermarketingsociety.com/jobs/60888257-business-affairs-lead-fitness-at-apple,,published,true,,,annually,,2021-05-02 19:21:00 UTC,admin
60787628,Deckers Brands,"PR Manager, Koolaburra",on_site,"New York, NY, USA",New York,New York,"",2021-05-01 19:43:52 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,0,0,2,https://www.influencermarketingsociety.com/jobs/60787628-pr-manager-koolaburra-at-deckers-brands,,published,true,,,annually,,2021-05-01 19:43:00 UTC,admin
60787077,Branded Entertainment Network,"Director, New Business Strategy",on_site,"Los Angeles, CA, USA",Los Angeles,California,"",2021-05-01 19:41:47 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,1,1,10,https://www.influencermarketingsociety.com/jobs/60787077-director-new-business-strategy-at-branded-entertainment-network,,published,true,,,annually,,2021-05-01 19:41:00 UTC,admin
60786674,Superfly,Superfly Remote Internship - Summer 2021,full,"New York, NY, USA",New York,New York,"",2021-05-01 19:39:29 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,true,23,0,94,https://www.influencermarketingsociety.com/jobs/60786674-superfly-remote-internship-summer-2021-at-superfly,,published,true,,,annually,,2021-05-01 19:39:00 UTC,admin
60786434,Panasonic North America,"Marketing Manager, Brand and PR",on_site,"Palo Alto, CA, USA",Palo Alto,California,"",2021-05-01 19:38:01 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,1,0,28,https://www.influencermarketingsociety.com/jobs/60786434-marketing-manager-brand-and-pr-at-panasonic-north-america,,published,true,,,annually,,2021-05-01 19:38:00 UTC,admin
60786131,Squarespace,"Director, Brand Media Investment & Strategy",on_site,"New York, NY, USA",New York,New York,"",2021-05-01 19:36:10 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,0,0,3,https://www.influencermarketingsociety.com/jobs/60786131-director-brand-media-investment-strategy-at-squarespace,,published,true,,,annually,,2021-05-01 19:36:00 UTC,admin
60785288,StreamElements,Creator Success Team Lead,on_site,"Atlanta, GA, USA",Atlanta,Georgia,"",2021-05-01 19:32:20 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,0,1,19,https://www.influencermarketingsociety.com/jobs/60785288-creator-success-team-lead-at-streamelements,,published,true,,,annually,,2021-05-01 19:32:00 UTC,admin
60784837,StreamElements,"VP, Integrated Marketing",on_site,"Chicago, IL, USA",Chicago,Illinois,"",2021-05-01 19:30:32 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,0,0,10,https://www.influencermarketingsociety.com/jobs/60784837-vp-integrated-marketing-at-streamelements,,published,true,,,annually,,2021-05-01 19:30:00 UTC,admin
60784035,SmileDirectClub,"Director, Consumer PR & Influencer Marketing - Remote",on_site,"Nashville, TN, USA",Nashville,Tennessee,"",2021-05-01 19:23:31 UTC,info@influencermarketingsociety.com,,info@influencermarketingsociety.com,,,,2030-12-31 18:10:00 UTC,false,1,2,9,https://www.influencermarketingsociety.com/jobs/60784035-director-consumer-pr-influencer-marketing-remote-at-smiledirectclub,,published,true,,,annually,,2021-05-01 19:23:00 UTC,admin
